zone,mode,month,q,cut_min,loads_day,binding,ceiling,rho_shovel,cycle_min,top_lever,order,top_gain,gap_1_2,recov_pct,bucket_queue,bucket_road_return,bucket_road_haul,bucket_dump,gain_return-road,gain_idle,gain_haul-road,gain_queue,gain_dump
25559,month,2025-07,0.1,59.6,48.5,shovel,114,0.43,191.6,return-road,return-road>idle>haul-road>queue>dump,13,7,98,416,1017,471,154,13,6,5,5,2
25559,month,2025-07,0.15,59.6,48.5,shovel,114,0.43,192.1,return-road,return-road>idle>haul-road>queue>dump,12,6,90,407,972,438,145,12,6,5,4,2
25559,month,2025-07,0.2,59.6,48.5,shovel,114,0.43,192.6,return-road,return-road>idle>haul-road>queue>dump,12,6,86,397,945,414,133,12,6,5,4,1
25559,month,2025-07,0.25,59.6,48.5,shovel,114,0.43,193.1,return-road,return-road>idle>haul-road>queue>dump,11,5,80,389,907,395,125,11,6,4,4,1
25559,month,2025-07,0.3,59.6,48.5,shovel,114,0.43,193.7,return-road,return-road>idle>haul-road>queue>dump,11,5,77,382,880,376,118,11,6,4,4,1
25559,month,2025-08,0.1,61.0,78.0,shovel,150,0.52,200.7,return-road,return-road>queue>haul-road>idle>dump,19,10,90,842,1600,712,318,19,7,8,9,3
25559,month,2025-08,0.15,61.0,78.0,shovel,150,0.52,201.1,return-road,return-road>queue>haul-road>idle>dump,18,9,85,826,1535,668,301,18,7,7,9,3
25559,month,2025-08,0.2,61.0,78.0,shovel,150,0.52,201.6,return-road,return-road>queue>idle>haul-road>dump,17,8,79,809,1483,620,286,17,7,6,9,3
25559,month,2025-08,0.25,61.0,78.0,shovel,150,0.52,202.0,return-road,return-road>queue>idle>haul-road>dump,17,9,75,796,1438,584,272,17,7,6,8,3
25559,month,2025-08,0.3,61.0,78.0,shovel,150,0.52,202.4,return-road,return-road>queue>idle>haul-road>dump,16,8,71,783,1385,548,260,16,7,6,8,3
25559,month,2025-09,0.1,111.5,77.6,shovel,145,0.53,206.6,return-road,return-road>queue>haul-road>dump>idle,18,8,87,955,1538,687,372,18,4,7,10,4
25559,month,2025-09,0.15,111.5,77.6,shovel,145,0.53,207.1,return-road,return-road>queue>haul-road>dump>idle,18,8,83,929,1488,642,347,18,4,7,10,4
25559,month,2025-09,0.2,111.5,77.6,shovel,145,0.53,207.6,return-road,return-road>queue>haul-road>idle>dump,17,7,78,906,1438,597,327,17,4,6,10,3
25559,month,2025-09,0.25,111.5,77.6,shovel,145,0.53,208.1,return-road,return-road>queue>haul-road>idle>dump,16,6,72,887,1383,559,311,16,4,6,10,3
25559,month,2025-09,0.3,111.5,77.6,shovel,145,0.53,208.7,return-road,return-road>queue>haul-road>idle>dump,15,6,68,866,1321,531,296,15,4,5,9,3
25559,month,2025-10,0.1,140.2,88.3,shovel,150,0.59,221.1,return-road,return-road>queue>haul-road>dump>idle,19,3,70,1562,1756,666,555,19,5,6,16,5
25559,month,2025-10,0.15,140.2,88.3,shovel,150,0.59,221.6,return-road,return-road>queue>haul-road>dump>idle,17,1,70,1525,1669,615,520,17,5,6,16,5
25559,month,2025-10,0.2,140.2,88.3,shovel,150,0.59,222.2,return-road,return-road>queue>haul-road>dump>idle,16,1,70,1486,1591,568,495,16,5,5,15,5
25559,month,2025-10,0.25,140.2,88.3,shovel,150,0.59,222.9,return-road,return-road>queue>haul-road>idle>dump,15,0,70,1450,1505,525,469,15,5,5,15,4
25559,month,2025-10,0.3,140.2,88.3,shovel,150,0.59,223.6,return-road,return-road>queue>idle>haul-road>dump,14,0,68,1412,1424,489,441,14,5,4,14,4
25559,month,2025-11,0.1,147.6,80.6,shovel,160,0.5,231.8,return-road,return-road>queue>haul-road>dump>idle,17,3,96,1406,1654,689,694,17,2,6,14,6
